#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1         inf         inf           0
           2        -inf        -nan         nan
           3        -inf        -nan         nan
           4        -inf        -nan         nan
           5        -inf        -nan         nan
           6        -inf        -nan         nan
           7        -inf        -nan         nan
           8        -inf        -nan         nan
           9        -inf        -nan         nan
          10        -inf        -nan         nan
          11        -inf        -nan         nan
          12        -inf        -nan         nan
          13        -inf        -nan         nan
          14        -inf        -nan         nan
          15        -inf        -nan         nan
          16        -inf        -nan         nan
          17        -inf        -nan         nan
          18        -inf        -nan         nan
          19        -inf        -nan         nan
          20        -inf        -nan         nan
