#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1         500         500           0
           2         500         500           0
           3         500         500           0
           4         500         500           0
           5         500         500           0
           6         500         500           0
           7         500         500           0
           8         500         500           0
           9         500         500           0
          10         500         500           0
          11         500         500           0
          12         500         500           0
          13         500         500           0
          14         500         500           0
          15         500         500           0
          16         500         500           0
          17         500         500           0
          18         500         500           0
          19         500         500           0
          20         500         500           0
